Unique Identifier,Host Name,Physical/Virtual,Data Center Location,Platform,Service Description,Primary Function,Customer Contact One,Number of Processors (Physical/Virtual),Cores Per Processor (Virtual = 1),Total Cores,Physical/Allocated Memory (GB),Primary IP Address,VLAN,Backup IP Address,VLAN,Domain Name (Windows Only),Product,Version,Edition,Service Pack / Hotfix Level
LAT0000354,TELINF004P,Virtual,Telford,Linux,Sandbox,Application Teir,LateRooms,4,1,4,8,172.31.165.63,103 FE_WEB,N/A,N/A,tlrg.org,squeeze,6.0.06,TBC,TBC
LAT0000355,TELINF029P,Virtual,Telford,Linux,Proxy,Infrastructure,LateRooms,4,1,4,8,172.31.165.97,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000356,TELINF030P,Virtual,Telford,Linux,Proxy,Infrastructure,LateRooms,4,1,4,8,172.31.165.98,103 FE_WEB,N/A,N/A,Not Applicable,squeeze,6.0.06,TBC,TBC
LAT0000357,TELWEB328P,Virtual,Telford,Windows,Hoteladmin (asiarooms),Web Frontend,LateRooms,4,1,4,16,172.31.164.251,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000358,TELWEB329P,Virtual,Telford,Windows,Hoteladmin (asiarooms),Web Frontend,LateRooms,4,1,4,16,172.31.164.252,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000359,TELWEB351P,Virtual,Telford,Windows,"Sandbox - LRWeb, XML, Connectivity",Web Frontend,LateRooms,4,1,4,8,172.31.164.238,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000360,TELWEB354P,Virtual,Telford,Windows,Sandbox,Web Frontend,LateRooms,4,1,4,16,172.31.164.253,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000361,TELWEB355P,Virtual,Telford,Windows,Sandbox,Web Frontend,LateRooms,4,1,4,16,172.31.164.254,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000362,NEWAPP001P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.100,103 FE_WEB,172.31.165.100,ACS 501,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000363,NEWAPP002P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.101,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000364,NEWAPP003P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.102,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000365,NEWAPP004P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.103,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000366,NEWAPP005P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.104,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000367,NEWAPP006P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.105,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000368,NEWAPP007P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.106,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000369,NEWAPP008P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.107,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000370,NEWAPP009P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.108,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000371,NEWAPP010P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.109,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000372,NEWAPP011P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.110,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000373,NEWAPP012P,Virtual,Newport,Windows,XML Feeds,XML,Simon Dutton,4,1,4,16,172.31.165.111,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000374,NEWAPP013P,Virtual,Newport,Windows,Search API / Hotel API / Booking API / Address API,API,Simon Dutton,4,1,4,16,172.31.165.112,103 FE_WEB,172.31.165.112,ACS 513,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000375,NEWAPP014P,Virtual,Newport,Windows,Search API / Hotel API / Booking API / Address API,API,Simon Dutton,4,1,4,16,172.31.165.113,103 FE_WEB,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000376,NEWAPP015P,Virtual,Newport,Linux,Odyssey,Application,Simon Dutton,4,1,4,32,172.31.165.114,103 FE_WEB,172.31.165.114,ACS 515,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000377,NEWAPP016P,Virtual,Newport,Linux,Odyssey,Application,Simon Dutton,4,1,4,32,172.31.165.115,103 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000378,TELAPP453P,Virtual,Telford,Linux,Moonstick,Web Frontend,LateRooms,4,1,4,8,172.31.165.121,103 FE_WEB,172.31.178.150,501,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000379,TELAPP454P,Virtual,Telford,Linux,Moonstick,Web Frontend,LateRooms,4,1,4,8,172.31.165.122,103 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000380,TELAPP455P,Virtual,Telford,Linux,Moonstick,Web Frontend,LateRooms,4,1,4,8,172.31.165.123,103 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000381,TELAPP456S,Virtual,Telford,Linux,Moonstick,Web Frontend,LateRooms,4,1,4,8,172.31.165.124,103 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000382,TELWEB356P,Virtual,Telford,Linux,Chopstick,Web Frontend,LateRooms,2,1,2,4,172.31.164.194,104 FE_WEB,172.31.178.161,501,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000383,TELWEB357P,Virtual,Telford,Linux,Chopstick,Web Frontend,LateRooms,2,1,2,4,172.31.164.195,105 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000384,TELWEB358P,Virtual,Telford,Linux,Chopstick,Web Frontend,LateRooms,2,1,2,4,172.31.165.130,106 FE_WEB,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000385,TELWEB359P,Physical,Telford,Windows,Sandbox ,Web Frontend,LateRooms,2,TBC,#VALUE!,16,172.31.164.28,103 FE_WEB,N/A,N/A,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000386,TELRMQ003P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.131,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000387,TELRMQ004P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.132,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000388,TELNSV003P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.133,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000389,TELNSV004P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.134,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000390,TELNAC003P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.135,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000391,TELNAC004P,Virtual,Telford,Linux,Beyond,Web Frontend,LateRooms,2,1,2,1,172.31.165.136,103,Not Applicable,Not Applicable,Not Applicable,Ubuntu Server,12.04.3 LTS,LTS,TBC
LAT0000386,TELAPP457P,Virtual,Telford,Windows,Hybris,Database,Paul Clarkin,4,1,4,16,172.31.165.126,103,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000387,TELAPP458P,Virtual,Telford,Windows,Hybris,Database,Paul Clarkin,4,1,4,16,172.31.165.127,103,Not Applicable,Not Applicable,tlrg.org,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000388,TELAPP360P,Physical ,Telford,Windows,Tableau,Application Tier,LateRooms,2,TBC,#VALUE!,16,172.31.165.137,103 FE_WEB,,,tlrg.org,Windows Server,2012,R2 Standard,None
LAT0000444,TELAPP420P,Virtual,Telford,Windows,TBC,Application,LateRooms,1,1,1,4,172.31.141.43,104 SHARED_SVC,172.31.178.155,N/A,Not Applicable,Windows Server,2008 R2,Standard,Servce Pack 1
LAT0000449,TELAPP459P,Physical,Telford,Linux,Search Engine Servers,TBC,LateRooms,2,TBC,#VALUE!,80,172.31.165.155,103 FE_WEB,N/A,N/A,tlrg.org,Ubuntu Server,14.04,Not Applicable,3.16.0-30-generic x86_64
LAT0000450,TELAPP460P,Physical,Telford,Linux,Search Engine Servers,TBC,LateRooms,2,TBC,#VALUE!,80,172.31.165.156,103 FE_WEB,N/A,N/A,tlrg.org,Ubuntu Server,14.04,Not Applicable,3.16.0-30-generic x86_64
LAT0000451,TELAPP461P,Physical,Telford,Linux,Search Engine Servers,TBC,LateRooms,2,TBC,#VALUE!,80,172.31.165.157,103 FE_WEB,N/A,N/A,tlrg.org,Ubuntu Server,14.04,Not Applicable,3.16.0-30-generic x86_64
